epoch	loss	validation_score
1	0.2684485452622175	0.3762003147286421
2	0.19493684618423382	0.38040734515048874
3	0.15673896934837103	0.3867528074990507
4	0.14051509071762364	0.3853883427635986
5	0.1296341153886169	0.38823749066668073
6	0.12232053575726846	0.3810662607256193
7	0.11848757760288815	0.38322071280679654
8	0.11277903157286345	0.3788346979388748
9	0.11203873142289619	0.386132608606248
10	0.10751331556898852	0.37318143891183514
11	0.10131618045270444	0.3711108656785944
12	0.09777337009552867	0.37295611307682036
13	0.09583473397108416	0.3802340410188833
