分析	atlas	02_results/model_validation/20260612_tcga_pancancer_nmf_v1/scripts/run_nmf.py	E:\data\gongke\TCGA-TCPA\02_results\model_validation\20260612_tcga_pancancer_nmf_v1\scripts\run_nmf.py	L	signed-split NMF k=30/20/40，生成 W/H 矩阵，Fig2e/f/g 全部依赖此输出
分析	atlas	02_results/model_validation/20260612_tcga_pancancer_nmf_v1/scripts/analyze_modules.py	E:\data\gongke\TCGA-TCPA\02_results\model_validation\20260612_tcga_pancancer_nmf_v1\scripts\analyze_modules.py	L	生成 module_by_cancer_median_k30 / module_pathway_enrichment_k30 / module_summary_k30 / sample_module_activity_k30，Fig2e/f/g 核心中间产物
分析	atlas	02_results/model_validation/20260612_tcga_pancancer_nmf_v1/scripts/project_to_cptac.py	E:\data\gongke\TCGA-TCPA\02_results\model_validation\20260612_tcga_pancancer_nmf_v1\scripts\project_to_cptac.py	L	masked NNLS 投影 TCGA-NMF H 矩阵至 CPTAC 实测磷酸组，ED7b 数据来源
分析	atlas	02_results/model_validation/20260612_tcga_pancancer_nmf_v1/scripts/build_ED7c_33project.py	E:\data\gongke\TCGA-TCPA\02_results\model_validation\20260612_tcga_pancancer_nmf_v1\scripts\build_ED7c_33project.py	L	扩展至 33 项目（含 LAML）重跑 NMF k30，产出 module_by_cancer_median_k30_33proj，ED7c 数据
画图	atlas	02_results/model_validation/20260612_tcga_pancancer_nmf_v1/scripts/build_figA_annotated.R	E:\data\gongke\TCGA-TCPA\02_results\model_validation\20260612_tcga_pancancer_nmf_v1\scripts\build_figA_annotated.R	L	渲染带临床注释的 10023 样本×30 模块热图（Fig2e 样本视图，含年龄/性别/分期/纯度/OS 注释条）
画图	atlas	02_results/model_validation/20260612_tcga_pancancer_nmf_v1/scripts/build_figA_sample_overview.R	E:\data\gongke\TCGA-TCPA\02_results\model_validation\20260612_tcga_pancancer_nmf_v1\scripts\build_figA_sample_overview.R	L	渲染泛癌 10023 例样本×模块活性概览热图（简洁版，无临床注释），Fig2e 配套
画图	atlas	02_results/model_validation/20260612_tcga_pancancer_nmf_v1/scripts/build_figB_module_cancer.R	E:\data\gongke\TCGA-TCPA\02_results\model_validation\20260612_tcga_pancancer_nmf_v1\scripts\build_figB_module_cancer.R	L	渲染 Fig2e 主图：30 模块×32 癌种中位活性热图（带 Hallmark 标注，对角块状结构）
画图	atlas	02_results/model_validation/20260612_tcga_pancancer_nmf_v1/scripts/build_figC_pathway_bars.R	E:\data\gongke\TCGA-TCPA\02_results\model_validation\20260612_tcga_pancancer_nmf_v1\scripts\build_figC_pathway_bars.R	L	渲染 Fig2g：9 个代表性癌种特异模块 Hallmark ORA bar 图（3×3 布局）
画图	atlas	02_results/model_validation/20260612_tcga_pancancer_nmf_v1/scripts/build_figD_survival.R	E:\data\gongke\TCGA-TCPA\02_results\model_validation\20260612_tcga_pancancer_nmf_v1\scripts\build_figD_survival.R	L	渲染 Fig2f：30 模块 OS 风险比森林图（cancer 分层 Cox + BH-FDR，16/30 显著；内嵌 Cox 统计）
画图	atlas	02_results/model_validation/20260612_tcga_pancancer_nmf_v1/scripts/build_ED7a_stability.R	E:\data\gongke\TCGA-TCPA\02_results\model_validation\20260612_tcga_pancancer_nmf_v1\scripts\build_ED7a_stability.R	L	渲染 ED7a：k=20 和 k=40 模块×癌种热图，展示 NMF 模块数稳健性
