split_seed	model	target_id	overall_spearman	within_condition_spearman	pseudobulk_spearman
69001	original	RPS6_pSitePending	0.5000560802996784	0.48182570410769754	0.6232065690832882
69001	original	STAT3_Y705	0.4487265801653963	0.400774491588222	0.721583953605754
69001	original	MAPK14_pSitePending	0.5199370377899916	0.2908347024715681	0.7971492117348131
69001	original	CREB1_S133_ATF1_S63	0.3561270626580822	0.34199467145191775	0.38771693632336285
69001	original	JUN_pSitePending	0.30199050174702563	0.2725507184925318	0.5402886854868181
69001	original	LAT_Y226	0.26492548351368217	0.252897014571744	0.19017812300263706
69001	original	LCP2_S376	0.49075469193263005	0.4353959126650075	0.6700821803311068
69001	original	MAP2K1_S298	0.36671336607992033	0.3017292461506619	0.5221726743687516
69001	original	MAPK14_pSitePending_D3F9	0.615630209780463	0.5442897144261173	0.8245688943677897
69001	original	RELA_pSitePending_93H1	0.5928640753477207	0.5174075934763079	0.7741958721868288
69001	original	p-Rb	0.4758349196041204	0.4205074896278013	0.6816378054330807
69001	original	HISTONE_H3_S28	0.5522945134602005	0.5256142299896029	0.6713884020109518
69001	original	NFE2L2_S40	0.7942010671234755	0.7030311344714881	0.9410449391781587
69001	original	AKT_S473	0.45390871867994126	0.35451299405790715	0.7978759819027665
69001	original	EIF4EBP1_T37_T46	0.2406172589519461	0.2459628971712117	0.2934540896777606
69001	original	STAT6_Y641	0.5094671931404495	0.45796392644813294	0.6909912686379897
69001	original	ZAP70_Y493	0.12063921654184802	0.11319163329877399	0.18233602127357473
69001	original	LCK_Y505	0.32107100307385683	0.20163456674560692	0.67744371241795
69001	original	STAT5A_Y694	0.23093458248291945	0.20589167539787506	0.42177002186424384
69001	original	PLCG1_Y783	0.2110468899762579	0.19977229385236914	0.3590449839089764
69001	member2	RPS6_pSitePending	0.507171160213001	0.4936870843267647	0.6160905710640888
69001	member2	STAT3_Y705	0.4187493518650747	0.3702562428878396	0.7250546485366788
69001	member2	MAPK14_pSitePending	0.5048731463433358	0.28402975931033736	0.8025113522151145
69001	member2	CREB1_S133_ATF1_S63	0.2765891864178674	0.27129835657813267	0.3111596451875969
69001	member2	JUN_pSitePending	0.25428016214524096	0.23244655262815248	0.4363171609286101
69001	member2	LAT_Y226	0.2481508921375441	0.23730651717919318	0.27015725589413114
69001	member2	LCP2_S376	0.47370356145789816	0.4194806136954179	0.6966506120171743
69001	member2	MAP2K1_S298	0.33157995990837225	0.27240852245123953	0.5143544262159427
69001	member2	MAPK14_pSitePending_D3F9	0.5924144652712283	0.516068661279657	0.8111002126784606
69001	member2	RELA_pSitePending_93H1	0.569163093857004	0.49035416310116836	0.7639289082325544
69001	member2	p-Rb	0.4506988579405581	0.39223260810692323	0.67306101457835
69001	member2	HISTONE_H3_S28	0.581952514912451	0.5610401511643174	0.6805004670529674
