model	evaluation	test_dataset	target_id	target_index	n	spearman	pearson
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	RPS6_pSitePending	0	12185	0.5114588324252848	0.5593042720749
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	STAT3_Y705	1	11440	0.2711860041317077	0.2605037749279196
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK14_pSitePending	2	12185	0.3791940871901	0.1829551472264865
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	AKT_pSitePending	3	745	0.21798786248971588	0.22767360945193227
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	BTK_pSitePending	4	745	0.12291148729004703	0.10946178742741469
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	CREB1_S133_ATF1_S63	5	11440	0.3242497041203259	0.09720930825609518
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	HM0025_phospho_p44_42_197G2	7	11440	0.27157138184054097	0.27346148402662734
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	JUN_pSitePending	8	11440	0.2375892486834624	0.2321477433647009
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	LAT_Y226	9	11440	0.3409287480313059	0.07225059516006813
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	LCP2_S376	10	11440	0.4623571208703211	0.47083241193007513
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAP2K1_S298	11	11440	0.3291240421770877	0.16946745738996594
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK14_pSitePending_D3F9	12	11440	0.3381702612964476	0.32214250546781487
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK1_MAPK3_pSitePending	14	745	0.047754217509154304	0.07605290022190567
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	PLCG2_Y759	15	745	0.20517581345480362	0.18141215432393015
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	PLCG2_pSitePending	16	745	0.1228457199351601	0.12012519973868471
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	RELA_pSitePending_93H1	18	11440	0.21740911146456385	0.20797369885340702
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	STAT5A_STAT5B_Y694_Y699	21	11440	0.415536748918399	0.14706973935594203
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	SYK_pSitePending	22	745	0.13599923314512077	0.15116041124944787
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-AMPK-a1/2	23	745	0.17201752270998502	0.17892407950341743
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-AMPK-b1	24	745	0.07154514817958679	0.09264009409042082
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-BLNK	25	745	0.03920840948664148	0.057873313306404384
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CD79a	26	745	0.022224567167043435	0.045687682721636036
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CDK1	27	745	0.24755497610498342	0.27298874184760463
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CDK4	28	745	0.055708303729899336	0.04285844498672995
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-HistonH2A.X	30	745	0.07162541324978777	0.03615618166558467
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-HistonH3	31	745	0.05630206636304864	0.07563776294761249
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-IKKa/b	32	745	0.06055258216146814	0.05698733235676237
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-IRAK4	33	745	0.06951960575572654	0.07811965952577327
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-JAK1	34	745	0.12201049389741278	0.12509303372045458
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-JNK	35	745	0.1432997649631593	0.14153003923624424
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-PKC-b1	36	745	0.06834810075274128	0.0453261319084646
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-Rb	37	745	0.270481758135084	0.29108410323007694
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-STAT5	40	745	0.06977352951271613	0.06394912642553194
